Date,Mkt-RF,SMB,HML,RF
20240819,1.14,-0.08,0.13,0.02
20240820,-0.02,-0.08,-0.37,0.02
20240821,0.55,0.04,0.05,0.02
20240822,-0.13,-0.28,-0.05,0.02
20240823,1.29,0.05,0.44,0.02
20240826,-0.37,0.02,0.29,0.02
20240827,0.33,-0.2,0.21,0.02
20240828,-0.47,-0.34,-0.19,0.02
20240829,0.39,-0.41,-0.73,0.02
20240830,-0.11,0.29,0.09,0.02
20240902,0,-0.54,0.35,0.02
20240903,-1.31,-0.15,-0.49,0.02
20240904,-0.54,0.52,0.88,0.02
20240905,-0.31,0.15,1.43,0.02
20240906,-1.38,-0.05,-0.27,0.02
20240909,0.36,-0.34,-0.17,0.02
20240910,-0.61,0.46,-0.53,0.02
20240911,0,-0.57,-0.1,0.02
20240912,1.19,-0.07,-0.11,0.02
20240913,0.77,0.26,0.38,0.02
20240916,0.39,-0.15,0.33,0.02
20240917,0.11,-0.05,0.22,0.02
20240918,-0.38,0.19,0.73,0.02
20240919,1.67,0.1,-0.63,0.02
20240920,-1.25,0.21,0.59,0.02
20240923,-0.02,-0.22,-0.03,0.02
20240924,1.21,-0.67,0.12,0.02
20240925,-0.46,0.01,-0.56,0.02
20240926,1.87,-0.19,-0.45,0.02
20240927,0.35,0.2,0.12,0.02
20240930,-1.1,0.45,-0.1,0.02
20241001,-1.19,0.03,0.21,0.02
20241002,-0.16,-0.3,-0.05,0.02
20241003,-1.06,0.23,-0.06,0.02
20241004,0.03,0.32,0.57,0.02
20241007,0.09,-0.4,0.01,0.02
20241008,-0.46,0.07,-0.53,0.02
20241009,0.18,-0.19,-0.18,0.02
20241010,-0.25,-0.19,0.39,0.02
20241011,0.54,-0.16,-0.28,0.02
20241014,0.19,-0.58,-0.27,0.02
20241015,-0.99,0.78,0.61,0.02
20241016,-0.43,-0.07,0.39,0.02
20241017,0.4,-0.31,-0.33,0.02
20241018,0.55,-0.1,0.1,0.02
20241021,-1.1,-0.02,0.03,0.02
20241022,-0.3,0.15,0.18,0.02
20241023,-0.68,-0.11,-0.21,0.02
20241024,0.5,-0.28,-0.1,0.02
20241025,-0.24,-0.06,0.03,0.02
20241028,0.52,-0.18,-0.27,0.02
20241029,-0.47,0.18,-0.05,0.02
20241030,-0.89,0.53,0.2,0.02
20241031,-0.9,-0.03,1.07,0.02
20241101,0.42,-0.71,0.09,0.02
20241104,0.03,-0.02,0.45,0.02
20241105,0.57,-0.28,0.41,0.02
20241106,-2.31,0.4,-0.3,0.02
20241107,1.51,0.38,-0.25,0.02
20241108,-1.43,0.45,-0.33,0.02
20241111,0.22,-0.21,-0.02,0.02
20241112,-2.19,0.41,0.11,0.02
20241113,-0.72,-0.12,-0.12,0.02
20241114,0.71,-0.45,0.16,0.02
20241115,-0.69,-0.14,1.6,0.02
20241118,0.59,-0.48,0.46,0.02
20241119,-0.48,0.11,-0.21,0.02
20241120,-0.57,-0.15,-0.24,0.02
20241121,-0.27,-0.3,-0.2,0.02
20241122,0.52,0.09,-0.96,0.02
20241125,0.93,0.33,-0.36,0.02
20241126,-0.66,-0.11,-0.44,0.02
20241127,0.52,0.32,0.32,0.02
20241128,0.3,0.08,0.26,0.02
20241129,0.68,-0.28,-0.15,0.02
20241202,-0.08,-0.62,-0.68,0.02
20241203,0.53,-0.29,0.06,0.02
20241204,0.43,0.49,-0.2,0.02
20241205,0.97,-0.41,0.91,0.02
20241206,0.05,0.1,-0.52,0.02
20241209,0.11,0.07,0.35,0.02
20241210,-0.78,0.37,0.5,0.02
20241211,0.02,0.16,-0.45,0.02
20241212,-0.43,-0.15,0.27,0.02
20241213,-0.08,-0.1,0.62,0.02
20241216,-0.2,0.08,-0.26,0.02
20241217,-0.56,-0.2,-0.67,0.02
20241218,-1.38,0.25,0.19,0.02
20241219,-1.24,0.43,0.17,0.02
20241220,-0.04,0.5,0.61,0.02
20241223,-0.02,0.08,-0.15,0.02
20241224,0.11,0.07,0.06,0.02
20241225,0.08,0.03,0,0.02
20241226,0.04,0.01,-0.03,0.02
20241227,0.65,-0.03,0.21,0.02
20241230,-0.55,0.25,0.63,0.02
20241231,-0.03,0.04,0.05,0.02
20250101,0,0,-0.01,0.02
20250102,-0.23,0.27,0.05,0.02
20250103,-0.04,0.3,0.17,0.02
20250106,1.73,-0.77,-0.08,0.02
20250107,-0.18,-0.81,-0.19,0.02
20250108,-0.55,-0.82,-0.28,0.02
20250109,0.21,-0.23,-0.05,0.02
20250110,-1.35,0.01,0.22,0.02
20250113,-0.68,-0.33,0.83,0.02
20250114,0.68,-0.1,0.52,0.02
20250115,1.12,0.35,0.28,0.02
20250116,1,-0.47,-1.2,0.02
20250117,0.32,-0.42,0.38,0.02
20250120,1.44,-0.25,0.45,0.02
20250121,0.63,0.19,-0.78,0.02
20250122,0.24,-0.3,-1.16,0.02
20250123,0.4,-0.35,0.63,0.02
20250124,0.71,0.22,-0.37,0.02
20250127,-0.05,-0.37,0.65,0.02
20250128,-0.21,0.33,-0.05,0.02
20250129,0.16,-0.21,0.24,0.02
20250130,0.61,0.01,-0.24,0.02
20250131,-0.25,0.24,-0.2,0.02
20250203,-1.06,0.27,-0.45,0.02
20250204,0.66,0.04,-0.06,0.02
20250205,0.65,-0.06,-0.11,0.02
20250206,0.81,-0.45,0.96,0.02
20250207,-0.95,0.1,0.76,0.02
20250210,0.34,-0.02,-0.09,0.02
20250211,0.71,-0.33,0.24,0.02
20250212,0.31,-0.24,0.22,0.02
20250213,1.86,-0.22,-0.55,0.02
20250214,0.17,0.14,0.27,0.02
20250217,0.44,-0.17,0.1,0.02
20250218,-0.03,-0.18,0.29,0.02
20250219,-1.25,0.34,-0.1,0.02
20250220,0.52,-0.01,-0.03,0.02
20250221,-0.09,-0.2,0.1,0.02
20250224,-0.05,-0.15,0.73,0.02
20250225,0.55,-0.52,0.74,0.02
20250226,0.54,-0.28,0.47,0.02
20250227,-1.33,-0.03,0.45,0.02
20250228,-0.11,-0.7,0.22,0.02
20250303,1.86,-0.47,0.15,0.02
20250304,-0.76,-0.14,-0.3,0.02
20250305,2.53,0.15,1.08,0.02
20250306,-0.07,0.16,1.17,0.02
20250307,0.17,0.08,0.31,0.02
20250310,-1.49,-0.07,0.31,0.02
20250311,-0.67,0.57,0.43,0.02
20250312,0.45,0.04,0.18,0.02
20250313,-0.62,-0.25,0.35,0.02
20250314,1.41,0.2,0.15,0.02
20250317,1.17,0.07,-0.04,0.02
20250318,0.63,-0.11,0.78,0.02
20250319,-0.11,0.08,-0.18,0.02
20250320,-1,0.27,-0.63,0.02
20250321,-0.83,-0.03,0.37,0.02
20250324,-0.15,0.06,0.02,0.02
20250325,0.48,-0.19,0.57,0.02
20250326,-1.02,0.59,0.81,0.02
20250327,0.06,0.02,-0.04,0.02
20250328,-0.54,-0.12,-0.1,0.02
20250331,-1.54,-0.25,0.17,0.02
20250401,0.7,-0.08,-0.23,0.02
20250402,0.06,0.12,-0.18,0.02
20250403,-0.89,0.71,-0.38,0.02
20250404,-5.88,0.57,-1.05,0.02
20250407,-4.31,1.25,0.52,0.02
20250408,2.49,0.14,-0.82,0.02
20250409,-1.25,-0.11,0.58,0.02
20250410,4.36,-0.17,-0.65,0.02
20250411,1.48,-0.13,0.43,0.02
20250414,2.46,-0.13,0.04,0.02
20250415,0.71,0,0.64,0.02
20250416,0.66,-0.22,0.64,0.02
20250417,-0.23,0.4,0.02,0.02
20250418,0.2,-0.05,0,0.02
20250421,0.87,0,0.07,0.02
20250422,-0.11,-0.47,0.34,0.02
20250423,0.66,-0.44,-0.13,0.02
20250424,1.2,0.05,-0.41,0.02
20250425,0.14,0.05,0.44,0.02
20250428,1.01,0.23,0.05,0.02
20250429,0.08,-0.23,0.25,0.02
20250430,-0.05,0.39,-0.91,0.02
